,IDs
0,1481532644764491777
1,787800285901008898
2,1368742009511481346
3,1047724886498717698
4,345470086
5,87229901
6,24329353
7,186957728
8,1335776011351416833
9,2824425018
10,1426670278000644102
11,4779341112
12,1396163332185407489
13,1033742736
14,1953637465
15,1263326902779105280
16,1473044090484895745
17,1363617732688834562
18,492714869
19,2888186449
20,1420165132227813377
21,1398350690918060039
22,498158182
23,2371575838
24,108288348
25,899374294723067905
26,1414330132022452231
27,874670352
28,3369243892
29,1381309824470683654
30,1447177624011350016
31,1210239572547981313
32,1491495149603639298
33,1435343501802229760
34,1448883853288955924
35,1431423782900621314
36,1095737760638488576
37,1446283060983513093
38,1446210823047692314
39,2529971
40,1355036496684867586
41,393635137
42,249270253
43,1395639606952042500
44,136364721
45,82728763
46,1285954300712308737
47,24039080
48,2816130654
49,19303423
50,382848770
51,1167354065518497792
52,1318918091116523521
53,1409232187115798528
54,26961656
55,2480033480
56,1429676106412695557
57,1486493794170142721
58,747668115161518081
59,1481721675599204361
60,537475047
61,322382156
62,1474130019970543617
63,1465419480901853193
64,1454895811553284096
65,6069072
66,408923809
67,1484261886216396801
68,1478044210393755648
69,1412189636546502658
70,1466505872541032454
71,1428577909501939716
72,978046626869776390
73,1370479673818427403
74,1453476008938520577
75,1382922805499482114
76,1395940570602868736
77,1431387396348817409
78,356737979
79,41709812
80,829651460795277312
81,461174650
82,1025659445844561922
83,1175086049195909121
84,808513538
85,961637747512389632
86,1362163416216055809
87,22205703
88,14295211
89,1122211825452556288
90,295218901
91,2911456922
92,3057972506
93,1362625187489976321
94,1384711969912102912
95,1406989897584414723
96,856016329
97,257072708
98,24973372
99,1456470344722698244
100,850969661118136320
101,1151925734274994176
102,968564606
103,899041304373362688
104,1430203159331450881
105,1300813015269298176
106,271005502
107,28695816
108,2989031745
109,1448820501296549904
110,17896058
111,1426732252768182281
112,1377222038826455043
113,1438740590968115201
114,345988272
115,1449499871656906754
116,2983172016
117,21195229
118,1460323950966321165
119,1460317917996793870
120,1451008080687230979
121,634323
122,1429854118437396485
123,2580886628
124,1455341668715073542
125,964213895316385792
126,50454260
127,247184728
128,1324864486835068928
129,1441861419658461184
130,1130911783630323712
131,364397323
132,1442665420314533891
133,1253269008125698049
134,1455363741122367488
135,1256302433048891392
136,1356425033208328195
137,811198032888872961
138,1320950149175222272
139,461689998
140,1100511256493125632
141,1388890965230948359
142,1385283147621883904
143,1217298499236237313
144,1371739484967043072
145,1391495490
146,334151830
147,2457499417
148,731800772174811136
149,80302965
150,1427464306489241603
151,1360742292424900609
152,1361405188284837890
153,1433542372965629952
154,1055259468248870912
155,412759152
156,15839456
157,1435630824288776192
158,1368305129624117249
159,2216990640
160,1392851484975509508
161,1367723050406268929
162,162933376
163,1409668874778431489
164,1389345956433301506
165,882108055864979456
166,1422074298848612378
167,1363832578701221892
168,2549112632
169,103941906
170,1422357326011506688
171,3362483146
172,1285842255970889729
173,19803402
174,1377864547764109313
175,305830702
176,66466835
177,363947511
178,289671052
179,1357745780870774790
180,1081831491376693248
181,993157676
182,1469931291546210310
183,899611823405764609
184,4094057303
185,1451679078541627392
186,1446305400891056128
187,1412548070978506756
188,1258600261120978945
189,1016541467580555270
190,930293611220025344
191,120868889
192,1421528885833846784
193,979774863798812672
194,934078632695422976
195,4860298293
196,1435232567184306187
197,819574342610620416
198,1051524958055223297
199,1432178272431792128
200,373020769
201,1353879161362927623
202,1288519631767056393
203,866655565
204,1465302113114861576
205,1390484210453028864
206,263030542
207,1437205892458430465
208,2265468781
209,1065469237
210,888735216084426752
211,1321816913580826624
212,1020418150821744640
213,167481439
214,1490075014372245508
215,1083373178557292544
216,1445963089841512449
217,791046273822523392
218,3311073635
219,1492834190865354759
220,1037150743877349376
221,1448499063498891266
222,1445484157098807297
223,99188594
224,1351552030129745922
225,1480994724961931264
226,1474659529963241475
227,625252494
228,1409397320421052417
229,1460044207180201989
230,1047394923811487745
231,34592834
232,1001600858038161410
233,1444741063625912320
234,572168634
235,1876092996
236,186028018
237,1400532711941369856
238,48766202
239,1202299559013019648
240,520770492
241,617896204
242,1417876510413885444
243,45032996
244,1475961748087730176
245,26570309
246,1389243894890631169
247,1486482226195812354
248,1378002286883053571
249,944388549624942592
250,1132309616002502657
251,1630735561
252,84597710
253,4701603501
254,2169430808
255,1036465716428513280
256,42059518
257,4071576372
258,49757625
259,1322392383217147907
260,1404321857969532928
261,1398135212354146307
262,2906034393
263,1474299451279740928
264,626203065
265,21140355
266,1262449382127009794
267,158503701
268,1419521452466786307
269,1356046779192639488
270,1378770512885686272
271,1479527094040375301
272,1307520747573780480
273,1371890611712892928
274,1424533013602373632
275,1371501041456414721
276,1262693401
277,1259781355577073668
278,1470788122774745089
279,1121464114340139010
280,1394261102477733889
281,1373481389715202049
282,1230831837334982656
283,1413766749481181185
284,1240469996645412864
285,1426580482746093569
286,1300781738721861632
287,1441050546736148486
288,1460347699639644163
289,1346924042746519553
290,3274842991
291,389674746
292,238844312
293,825340064
294,3187994046
295,14323985
296,1254735263856840705
297,1366388993751977984
298,2786431437
299,1482851044916752384
300,1172901476160671750
301,1313383566294745089
302,1397376201719648258
303,1472031961141198850
304,2758205289
305,1417513079978483712
306,2953370921
307,1383808471259238401
308,39508248
309,205000838
310,1411078673759838208
311,16592012
312,4667180562
313,1472979632123265025
314,971605981
315,1468020463414972418
316,1452025998430461953
317,1460768464206020608
318,15348305
319,296444875
320,1238665471366434816
321,1415947973008240641
322,902331588
323,139539038
324,1290220393312088066
325,1375958250424700930
326,230046625
327,270445077
328,27924122
329,1304430472747978752
330,197953249
331,88589555
332,42752640
333,1307719143676719107
334,1111988908848566272
335,11820882
336,1427647938877140998
337,843992379090722816
338,281803595
339,1449824269555302400
340,1442981071620952067
341,342852048
342,1387064343989194756
343,1033062533035421698
344,1416153910947901442
345,1429614032517046274
346,1372178569825226753
347,15415967
348,1078229041520562177
349,993944080546594816
350,797296216719630336
351,1364819175466618889
352,1280000427543519232
353,1046262226145837061
354,1465192351362654208
355,974416492799447040
356,1383277257897086981
357,14983508
358,1437898110181777412
359,1478045727578374148
360,1126784574
361,365846099
362,901548056096776192
363,897142437344419842
364,1382962472609484800
365,1158503623720153095
366,1375571133764878343
367,14876698
368,1374811031415910405
369,1462448599527268361
370,1397018272579608578
371,729938437109768192
372,1387221615247831041
373,1394727382955610112
374,1362059910515748868
375,1467328856231231488
376,1442582151157805059
377,221168409
378,934749208875356160
379,1453363018130145281
380,1310869377563066370
381,1414354208736780288
382,1445522500046102532
383,1455155605681881088
384,1452180334175457283
385,851104049722122240
386,1434135917967470592
387,1288537342274424834
388,1399769938395635712
389,1331059922
390,3037192526
391,922049207304966144
392,1215674582104825856
393,1448042686225784835
394,246500128
395,224039151
396,1390321676974493700
397,1432773652173373441
398,1297628172649934861
399,1232012193320841224
400,2221238688
401,1418329061206544386
402,525117639
403,1078591549
404,1213993799665348608
405,1465340059180277767
406,1428678584067977218
407,1428831214681559047
408,779062126652432384
409,1230350636
410,1447616660257615878
411,2468535174
412,86306292
413,1129778966
414,1243623574432251905
415,927606231543504897
416,3619861409
417,1012915601591980032
418,339520223
419,2889299863
420,1446949334742884352
421,1463486551099199488
422,3159122144
423,774689518767181828
424,1409185388732858374
425,842243345145556992
426,264551931
427,1365468847080357888
428,1451032716376518656
429,357193782
430,498591424
431,388024461
432,713500266239143936
433,1299008032546807809
434,1361393959273189378
435,218400079
436,24929621
437,1272609648420564997
438,1316779015777198088
439,780862997610700800
440,1432162250601549828
441,995571636161122304
442,1325398948639600640
443,1377298002218528778
444,329478273
445,3153520937
446,1305281441719136258
447,1403165461697556481
448,4252137093
449,1381983030177333250
450,634017384
451,1359223819454578691
452,2286113961
453,1362769911047741440
454,2903937198
455,22918367
456,838327267
457,386857768
458,91807351
459,1454163545944363012
460,1050571690785169409
461,14530949
462,1396323912527405057
463,1363583572364386310
464,544920227
465,945113737597296641
466,1355577373178081280
467,2279048132
468,49119140
469,479239744
470,1398350501058654209
471,1406268816619884551
472,1425029011684487175
473,1429456153096953859
474,1349944659385061377
475,1372201077634854914
476,1328315487835582466
477,1069108502487019520
478,1399851396262891521
479,1369881295304622083
480,820313791
481,1373712586244452354
482,910859403431235584
483,1375429816497897473
484,28166947
485,727594314
486,1239659608643383296
487,268501596
488,1384026211320426498
489,1434242344929353733
490,1031377695266033665
491,1351942908618829824
492,1425116255242145800
493,951232673296601088
494,1403594181004640257
495,1298613158278553600
496,1377072245185507330
497,1335831342752301057
498,280217541
499,109701202
500,898742104251346944
501,2857463762
502,297155897
503,1213598085802151936
504,42905854
505,190982658
506,1379521736522235906
507,43177239
508,18531451
509,3238783482
510,38740383
511,1429547725654200323
512,609529818
513,1389313321816317953
514,765995515
515,1075142947270742016
516,1389674259660906497
517,1417914704886784001
518,28430875
519,305835692
520,312862064
521,499747227
522,1157008225394237440
523,1223490932
524,1336014774086275083
525,1413201493822513153
526,1404976745795620865
527,1419310597330685958
528,857337679746187264
529,1388608814073585665
530,1311031304406925313
531,979245950601277440
532,965314989270687745
533,894474348756684800
534,1364351584470265862
535,1329441212
536,1374405206268547074
