,0
0,"RT @crypto_mulliman: Big things coming! I have decided that my days are starting at 6am baby!!!! 
.
.
The Rise before Grind Show will be ho…"
1,@crypto_mulliman @jairo_ema25 @XO12XX LET'S GOO!
2,RT @OnlyOneIshRE: That @CrazyCryptoCarl coffee will get you going .... @GutterMud thank you for my coffee :) https://t.co/mnmdtQ7hPo
3,@takyon236 Yeah yeah I totally get what you say
4,I just minted my @RubberDuckBP! 🐥 https://t.co/XxMcVL7asP
5,"RT @farokh: What's funny in this space is that projects are mostly judged by their floor price, rather than by their builders and communiti…"
6,RT @jpegruntz: might giveaway an old painting at 1k 👀
7,@takyon236 Sure msg me when your done its an heavy game ahhaha
8,@takyon236 Want to try apex?
9,RT @takyon236: Animation crashed again https://t.co/4HDKvb6738
10,@takyon236 Dancer
11,@takyon236 will need to be 5min next time so you can sleep two more minutes
12,@takyon236 eating?
13,@SignorCrypto could you check your dm please;)
14,@anubis_3100 🧐
15,@jastidesigns Hardware man... If you need some nice samples let's chat !;)
16,@jastidesigns I have the akai mpc 1000 simpling old vinyl is crazy
17,@NFTWedge @tobylasso @WeatheReportNFT Searching for a girlfriend ? Water ponytails https://t.co/yE1BJL740E
18,RT @CrazyCryptoCarl: Waking up to this beautiful derivative from @crypto_mulliman for the CCC 🙏 https://t.co/mCVP6xDqWD
19,RT @farokh: Thank you to all who showed up today on Rug Radio. We had thoughts of cancelling but I think we did the right thing with @Crazy…
20,RT @WGMInterfaces: when a passion project no longer feels like a passion project: https://t.co/tBcgljaquX
21,@DogeAllianceNFT @rodriguez_kelby @EvilAresHacker @RugRadio @niftyportal @GutterCatGang @66Mhz @BennettForcecp @uvaxemax @AngelRHK48 I can get it
22,"RT @DogeAllianceNFT: @RugRadio @niftyportal @GutterCatGang Winners 🏆
• @66Mhz 
• @rodriguez_kelby
• @EvilAresHacker
• @BennettForcecp
• @uv…"
23,"RT @Whiskers_NFT: Just want to give a congratulatory tweet to our friends at @StarcatchersNFT on a successful reveal! We love the stars🌟

A…"
24,@NFTherder https://t.co/C1K0w4y1ts
25,@ItsTymo @WonderPals Noo way haha happy birthday to her! Today's my 18th birthday and I would have loved to get white listed for wonderpals
26,@takyon236 Mdr
27,@WonderPals you really decided to do minting on my birthday ??
28,@Whiskers_NFT Abacadabra give me a discord invite please
